gene_name,logFC,P.Value,,,,
LMBRD1,0.178667399,0.143176607,,,,
CBWD5,0.285579078,0.19616456,,,,
SNAP47,-0.249488443,0.185727232,,,,
INHA,0.288227138,0.419094849,,,,
SNX4,0.230916026,0.162597378,,,,
RGL3,0.01510947,0.983546117,,,,
ZNF410,0.237211068,0.162135117,,,,
,0.591541685,0.344361842,,,,
PJVK,-0.035180734,0.931843007,,,,
TMEM63B,-0.285631153,0.133971943,,,,
AK5,0.045374056,0.924858306,,,,
CHEK1,0.23240867,0.437918207,,,,
SPATA6L,0.132700751,0.631385845,,,,
OR2M3,0.303222585,0.397560603,,,,
AGTRAP,0.242281693,0.217623368,,,,
PKN3,-0.10910098,0.802267211,,,,
,-0.361377486,0.35298013,,,,
PTPN6,0.348502019,0.52680518,,,,
CNKSR1,-0.100895631,0.823634665,,,,
GRAMD1C,0.255457564,0.650410701,,,,
,-0.086291699,0.897206189,,,,
RAB23,0.224498181,0.171302797,,,,
WIPF2,0.196107845,0.141119221,,,,
DOT1L,0.215974546,0.15690312,,,,
JPT1,-0.256844446,0.143235588,,,,
VPS4A,0.226655473,0.141477267,,,,
CLDN6,-0.577565448,0.110808745,,,,
FLT4,0.068744847,0.882678518,,,,
MYL12B,0.261174627,0.126915825,,,,
FSD2,-0.014432235,0.97397847,,,,
CKLF,0.261044039,0.343565677,,,,
DPYD,0.291326728,0.320394197,,,,
MIPOL1,0.264346173,0.318275381,,,,
,-0.155667176,0.678101246,,,,
FAT3,0.587374195,0.162645699,,,,
POMK,0.222056704,0.165907813,,,,
SLC49A3,0.188169413,0.750564825,,,,
TMEM18,-0.238479245,0.236595636,,,,
MSANTD3,-0.21575264,0.181577014,,,,
TSPAN10,-0.21568449,0.55794176,,,,
CDC25A,0.152759132,0.703946119,,,,
ZBTB49,0.18977072,0.593924188,,,,
ACTG2,0.369282972,0.375646029,,,,
TSGA10,-0.12186966,0.737639685,,,,
SMU1,0.212062511,0.146185871,,,,
RENBP,0.081804536,0.8711807,,,,
EDN1,0.386000894,0.328920128,,,,
ALS2CL,-0.329042553,0.293379124,,,,
ERI2,-0.213598684,0.358631506,,,,
RTCA,0.181261218,0.161252255,,,,
SLC24A3,0.283954077,0.484874019,,,,
FNDC5,0.107521097,0.837085686,,,,
SUPT4H1,0.235559232,0.16526001,,,,
MAP9,0.416288284,0.190644619,,,,
BRICD5,0.100878428,0.814039077,,,,
NOSIP,0.258160999,0.183018115,,,,
FAM161B,0.215981565,0.281098663,,,,
TF,0.405753927,0.141908641,,,,
TRIM65,-0.282851881,0.245884391,,,,
GLS,0.332581118,0.126017909,,,,
VCPIP1,0.28517898,0.180471637,,,,
MDK,-0.301392948,0.128168098,,,,
ZNF625-ZNF20,-0.303860783,0.488842507,,,,
PRRT3,-0.314834892,0.258311019,,,,
CAPN10,-0.208699858,0.234236838,,,,
ATRX,0.659983011,0.137599167,,,,
FANCM,-0.241872191,0.586003823,,,,
SF3A1,0.191696142,0.133784272,,,,
HARS2,0.209560342,0.173204321,,,,
NAP1L2,0.22083524,0.300107848,,,,
PPAN,0.228118274,0.183405016,,,,
STX11,-0.033354724,0.949491392,,,,
AMY2B,-0.210395117,0.60594576,,,,
ENKD1,0.223787918,0.380701032,,,,
NHEJ1,-0.249328589,0.321770841,,,,
URB1,0.231846034,0.144584628,,,,
VRK1,-0.254879071,0.339073392,,,,
SNAP29,0.221269989,0.168632698,,,,
ZNF12,0.327124777,0.178178979,,,,
PARP2,0.223139973,0.201557994,,,,
SHISA9,0.366629057,0.168295028,,,,
COPS7B,0.203705719,0.176980761,,,,
TMEM216,0.207188381,0.453627225,,,,
ALG6,0.325397083,0.250119433,,,,
LTB4R2,0.039742414,0.916601726,,,,
TBRG4,0.277671981,0.174857946,,,,
GPAA1P2,-0.178546928,0.711275915,,,,
TXNL4B,-0.29327796,0.350461101,,,,
CHST2,-0.383717124,0.155397127,,,,
,0.086520089,0.869167188,,,,
,-0.027009471,0.955326257,,,,
RABIF,-0.255730088,0.319779109,,,,
HELQ,0.22912463,0.313863436,,,,
ZNF2,-0.219585761,0.420531255,,,,
YRDC,-0.262993599,0.298440565,,,,
DHRS12,0.109842596,0.726884527,,,,
TEC,0.213330573,0.712407139,,,,
GSAP,-0.153377465,0.728868318,,,,
WDCP,-0.300219396,0.290640402,,,,
ZNF780A,0.225966343,0.376554495,,,,
TENT5B,-0.126390484,0.811488657,,,,
SMIM27,0.184892603,0.609582314,,,,
STAM2,0.220615885,0.148228651,,,,
PRSS16,0.211899475,0.602779767,,,,
SMG1P2,-0.29972755,0.49511316,,,,
MFAP2,-0.323144987,0.132539578,,,,
SLC17A9,0.391066468,0.347529787,,,,
FASTKD3,-0.225693398,0.428528048,,,,
ADCK5,0.090674354,0.806194923,,,,
ZNF124,-0.122988512,0.771958475,,,,
CYC1,0.317595271,0.163200871,,,,
RBCK1,-0.205901013,0.148001839,,,,
OSCAR,-0.089073088,0.901571489,,,,
VLDLR,0.257733725,0.124044407,,,,
PIGT,0.19738026,0.129600273,,,,
TYW5,0.223928701,0.240296297,,,,
SLC2A3,0.593570668,0.120174982,,,,
PEX26,0.207231814,0.173001183,,,,
PROCA1,-0.126622085,0.718822591,,,,
POP1,0.323672176,0.292383603,,,,
SNRK,-0.258063302,0.200312035,,,,
TECTA,-0.082481824,0.862263477,,,,
PGGHG,-0.426532345,0.176421049,,,,
AKNA,0.251159867,0.224614702,,,,
NR2C1,-0.266375433,0.183870326,,,,
RBM15,0.211755334,0.312999959,,,,
GPR3,0.080462539,0.832725947,,,,
CCDC66,-0.282924858,0.320333177,,,,
NDN,0.402390157,0.143108587,,,,
ZNF69,-9.88E-04,0.998316038,,,,
SNN,0.254342178,0.164468248,,,,
,-0.133973354,0.745345199,,,,
PLXNC1,-0.268776907,0.409503078,,,,
TIGD7,0.267036991,0.256430674,,,,
LAP3,0.547877759,0.157929196,,,,
SPIRE1,-0.27624348,0.159656274,,,,
CTSO,-1.19848067,0.31737178,,,,
ACOT11,0.148942619,0.710532162,,,,
NRM,-0.31227115,0.498986048,,,,
RIDA,0.234471238,0.451754859,,,,
MYO15B,0.331329124,0.418146957,,,,
SNURF,-0.13387594,0.788951219,,,,
LCOR,0.30797603,0.153196123,,,,
MAP7D1,-0.283692642,0.129788759,,,,
ZNF777,-0.230355392,0.219354345,,,,
PPP1R3E,0.2572872,0.283889408,,,,
TAF5,-0.195650861,0.552463383,,,,
ALMS1,-0.267459886,0.210274694,,,,
STAG2,0.297277369,0.147220132,,,,
ZNF665,0.136850355,0.672229151,,,,
STAU2,0.225846438,0.169359528,,,,
CPT1B,0.353440631,0.28667161,,,,
LSM12P1,0.149045513,0.801429435,,,,
SLC4A7,-0.322908184,0.160258079,,,,
COQ4,0.25450998,0.185685551,,,,
ANKRD18A,-0.353480003,0.423988178,,,,
CCDC148,-0.0149234,0.970285067,,,,
RB1CC1,0.429163281,0.157273006,,,,
METTL21A,0.211035949,0.362830233,,,,
AXIN1,0.237614412,0.184142442,,,,
METTL18,0.157518673,0.615155392,,,,
ARPC4-TTLL3,0.303279871,0.478602307,,,,
ZNF816,-0.22230413,0.486161473,,,,
KPNA6,0.176935595,0.134893503,,,,
ZNF140,-0.234724345,0.279333007,,,,
NANP,0.23982169,0.404517407,,,,
CENPH,0.021844061,0.958037929,,,,
FILIP1,-0.111111331,0.762950399,,,,
GAR1,0.220859322,0.27005693,,,,
ERG,-0.029332861,0.980579834,,,,
TIGD5,0.348843656,0.760234628,,,,
TBC1D14,0.176882789,0.147975518,,,,
STK11,0.201903886,0.153382659,,,,
SFR1,-0.086621946,0.848363666,,,,
ZNF428,0.292682165,0.18732366,,,,
CD55,0.221258486,0.178335483,,,,
CHMP1B2P,-0.056976185,0.888701193,,,,
,-0.213393674,0.768331095,,,,
ZNF486,0.15830741,0.738224222,,,,
GPX4,0.242944406,0.14027362,,,,
TM7SF3,-0.271568433,0.136385384,,,,
TOE1,0.211083268,0.564955863,,,,
CFAP44,-0.32325782,0.249239614,,,,
PANX2,-0.351966002,0.31638054,,,,
CLN8,1.15130207,0.152697664,,,,
RPL13P5,-0.0932788,0.798845287,,,,
SCAMP3,0.467808397,0.176292439,,,,
METTL25,0.036468867,0.930806929,,,,
TCF7,-0.163221718,0.59010551,,,,
MCRIP2,0.304204892,0.270970107,,,,
PLBD1,-0.067908691,0.917239511,,,,
NAPEPLD,0.324919014,0.272937915,,,,
C5orf24,0.181971738,0.142349947,,,,
ALKBH3,-0.238590606,0.324927075,,,,
AMACR,0.317963262,0.306948506,,,,
SNX8,0.281080506,0.198587456,,,,
SENP8,-0.164909312,0.712340847,,,,
SLC49A4,0.19976464,0.173230382,,,,
RAB39B,-0.059658121,0.897822578,,,,
TRPA1,-0.244306354,0.539253259,,,,
NUP35,-0.191048405,0.592794997,,,,
PSMD6,0.237181023,0.147964571,,,,
RET,0.482701548,0.342988766,,,,
MTRF1,-0.194109955,0.493569221,,,,
NUP153,0.217884649,0.154858385,,,,
AP1M2,-0.146648034,0.82562224,,,,
BTF3L4,-0.209029916,0.156902579,,,,
ANKRD26,0.380183699,0.26380869,,,,
RNF115,0.201812633,0.179975369,,,,
EIF6,0.262797821,0.153621572,,,,
MPHOSPH6,-0.242852741,0.321989375,,,,
GLDC,0.095508168,0.873998277,,,,
RNF212,-0.028678256,0.946663364,,,,
SYT1,0.353951479,0.23682834,,,,
PLAC9,-0.203765329,0.646440364,,,,
SPTB,-0.039534144,0.971564796,,,,
ACE,0.067376297,0.828343005,,,,
HPF1,0.315045066,0.26082985,,,,
CAPZA1,0.258235615,0.136494727,,,,
SURF2,0.161839617,0.618126362,,,,
SCGB3A2,-0.127106127,0.86930568,,,,
NAA16,-0.275337212,0.32033796,,,,
EEF2K,0.183842195,0.825182178,,,,
MANSC1,-0.173591778,0.564938599,,,,
RALA,-0.22675863,0.168035921,,,,
FAM167A,-0.302730009,0.630631074,,,,
MLYCD,0.292947052,0.271193996,,,,
ZNF41,-0.210783595,0.387597441,,,,
APEH,0.221015843,0.151901412,,,,
NSMCE1,-0.28449529,0.416924643,,,,
PPP2R1B,-0.278678941,0.154627434,,,,
VIRMA,0.172816804,0.145592263,,,,
BORCS8-MEF2B,-0.037021435,0.936714266,,,,
DMXL2,0.435107613,0.172763243,,,,
OSCP1,0.260235628,0.47919686,,,,
RING1,-0.579705758,0.63097037,,,,
WDR53,-0.199049114,0.505488721,,,,
HEXIM1,0.221749306,0.148335665,,,,
RIPOR1,0.189730667,0.145671409,,,,
R3HCC1,0.221779442,0.197780526,,,,
LRRC37A3,0.218417746,0.221716231,,,,
KLF4,0.306799957,0.282355778,,,,
PLEKHM2,0.184890841,0.147238246,,,,
SIX5,0.253032662,0.197743186,,,,
LPCAT3,0.20878967,0.170402683,,,,
C11orf71,0.216365039,0.555056524,,,,
KPNA2,-0.382008406,0.152853019,,,,
TRIM35,-0.238338359,0.224641422,,,,
ACACA,-0.408546128,0.151513279,,,,
GINS1,0.075844481,0.842076579,,,,
IPO13,0.201770765,0.171094844,,,,
RUBCN,0.223718464,0.185626004,,,,
CSNK1G1,-0.221596281,0.173796447,,,,
,-0.230741391,0.497981899,,,,
THNSL2,-0.341172091,0.544379891,,,,
NEU1,0.322583573,0.513278459,,,,
TMEM138,-0.232536028,0.253184214,,,,
N4BP2,0.314719846,0.332014704,,,,
IP6K2,-0.155916882,0.146023318,,,,
ZNF813,0.20259282,0.603644622,,,,
TPRKB,0.256959834,0.320621922,,,,
NPC1,0.213727855,0.144133056,,,,
SMPD2,-0.204760449,0.600813363,,,,
CEP43,0.290009356,0.204062155,,,,
SEC16B,0.24859174,0.48768399,,,,
GRK4,0.186745251,0.469118677,,,,
SCNN1A,0.651132175,0.464057012,,,,
CETN3,0.237362178,0.283901815,,,,
LMNA,0.219366788,0.127863321,,,,
ZDHHC8,-0.224501466,0.16962297,,,,
UAP1,0.194409766,0.139997485,,,,
GPM6A,-0.290259399,0.600142805,,,,
AGL,0.221269255,0.193666102,,,,
ICMT,0.165034954,0.141632417,,,,
MIEF2,-0.234653229,0.310030774,,,,
HP,-0.171975537,0.661574886,,,,
KDM1A,0.157699308,0.137465322,,,,
FNDC4,-0.267103774,0.254041445,,,,
ZNF879,0.081199737,0.830548077,,,,
PSD2,-0.122952183,0.815867658,,,,
COX6A1,0.266861036,0.147692486,,,,
PEDS1-UBE2V1,-0.769448323,0.482794618,,,,
CORO7,-1.277907807,0.58692497,,,,
FEN1,0.300214403,0.304002222,,,,
PITPNM3,-0.336726035,0.453400499,,,,
ZNF215,0.185019121,0.597331666,,,,
RCBTB1,0.196156427,0.190175278,,,,
INSC,0.344292884,0.192842872,,,,
PPP1R35,0.26347491,0.366782551,,,,
MGRN1,0.17489709,0.146364444,,,,
TJP1,0.401710473,0.170549634,,,,
MYCBP2,0.335236601,0.143256945,,,,
CCDC39,-0.283412525,0.502003365,,,,
PMF1-BGLAP,0.244941755,0.585917635,,,,
ZNF277,-0.201576855,0.276366233,,,,
DCLRE1A,0.277654265,0.325721509,,,,
MFAP3,0.215035161,0.14606377,,,,
ZNF354C,-0.310215869,0.372102172,,,,
PHLDB3,-0.221706966,0.327115552,,,,
UBE2E2,0.26837331,0.184805385,,,,
SESTD1,0.612215341,0.179372896,,,,
LIMS4,-0.32068108,0.399385623,,,,
C15orf61,0.14961054,0.735937027,,,,
RTN1,-0.194988148,0.516535931,,,,
SSTR2,0.187732786,0.518508476,,,,
IGFL4,-0.212980879,0.583167301,,,,
ITFG1,0.184164228,0.139913396,,,,
TMEM198,0.32649832,0.356308792,,,,
ZBTB3,-0.036800469,0.924649068,,,,
ARMCX5,0.225794376,0.235033926,,,,
MIER1,0.213440293,0.175538884,,,,
TAF1D,0.250980082,0.156968616,,,,
PPP2R3B,0.392620782,0.364606026,,,,
KRT80,0.360263805,0.307973459,,,,
RFT1,-0.211562963,0.209645306,,,,
C2orf81,-0.089499296,0.805125382,,,,
CHEK2,0.224119544,0.397923202,,,,
NADSYN1,0.162895467,0.158984241,,,,
SUSD2,0.169803129,0.74475415,,,,
TMCO6,0.118373086,0.756769375,,,,
STAT4,0.093535779,0.834490001,,,,
SLFN12L,0.110401502,0.762934057,,,,
MBTPS2,0.219821346,0.153202795,,,,
TMEM86A,-0.301275907,0.320025481,,,,
SFMBT2,-0.25504787,0.405216753,,,,
ZNF25,0.417977138,0.255089445,,,,
PANK2,0.253930913,0.174851704,,,,
ELAC1,-0.200677306,0.641222473,,,,
TMEM59L,0.477384714,0.167941878,,,,
OPRM1,-0.086079421,0.83892842,,,,
LMBRD2,0.435563196,0.18902684,,,,
CPEB3,-0.182115699,0.59210148,,,,
SBSN,0.430868401,0.306972084,,,,
METTL1,0.251496409,0.437586245,,,,
DPP6,0.643700479,0.465927088,,,,
HACD4,0.212369382,0.505648255,,,,
ZNF808,0.211534246,0.525475731,,,,
,-0.236534124,0.510521688,,,,
FAM91A1,0.25033104,0.1536228,,,,
NUP98,0.208829195,0.144220065,,,,
LRRC40,-0.240856951,0.246312498,,,,
OR5AS1,0.031025994,0.946833699,,,,
ZBTB34,0.225207088,0.211898174,,,,
,0.222595851,0.569950454,,,,
P3H2,0.415384517,0.118446634,,,,
EXOC3,0.184798634,0.169943169,,,,
,-0.166776929,0.735090539,,,,
ZNF780B,0.44871064,0.760742043,,,,
PRIMPOL,0.186916181,0.485300834,,,,
SLC6A1,0.153686935,0.744713266,,,,
CCNF,0.21988156,0.365275074,,,,
ZNF497,-0.231361374,0.284223579,,,,
NXPE3,0.191061716,0.164786789,,,,
PSMD11,0.180631188,0.152610344,,,,
SYT3,0.048679665,0.943467559,,,,
TMEM186,-0.214633926,0.391185088,,,,
DDX42,0.16053515,0.1363127,,,,
DUS2,-0.242879704,0.37174053,,,,
STX8,0.255568502,0.263861993,,,,
,0.078269517,0.869764855,,,,
RAB2B,0.217380703,0.185550386,,,,
PDGFB,-0.276937686,0.494196475,,,,
RASA1,-0.233834716,0.14972488,,,,
MTUS1,-0.353256699,0.280073164,,,,
FAM241A,0.231032134,0.354581815,,,,
CGREF1,-0.242308562,0.365962618,,,,
CIDECP1,0.148200737,0.600235521,,,,
TRAPPC2B,0.107601943,0.744355715,,,,
HIP1R,-0.277192525,0.174083734,,,,
ADAMTS9,0.329171033,0.128713905,,,,
ZNF792,0.175345336,0.645328047,,,,
MT-CYB,0.426619424,0.121752368,,,,
THAP7,0.266863141,0.326679111,,,,
PRDM2,0.232499684,0.16114968,,,,
DECR2,0.404399396,0.698464714,,,,
NKD1,0.28604717,0.373972332,,,,
RUNDC1,0.1917747,0.198526424,,,,
TXNDC5,0.43848119,0.128313412,,,,
RYR2,-0.042329896,0.961999324,,,,
ADGRA2,0.638499983,0.128615629,,,,
DNAJC27,0.187141557,0.416732619,,,,
CNTN4,0.042397031,0.956951915,,,,
SLC35G2,0.306082109,0.323056615,,,,
PCSK6,-0.020963514,0.964168703,,,,
KCNAB1,-0.347509202,0.315635045,,,,
UBE2J2,0.202509652,0.180923167,,,,
DDA1,-0.2033708,0.164452474,,,,
DFFB,-0.125412462,0.6835715,,,,
CSTF2,0.288582695,0.276101721,,,,
XRCC2,-0.107523375,0.741167948,,,,
MCM3AP,0.164997421,0.148343815,,,,
SLC46A3,-0.204933868,0.358392,,,,
PSMD9,0.184223792,0.193525071,,,,
SRSF8,0.227214915,0.173428029,,,,
PET117,0.165398615,0.687914023,,,,
ARL17B,-0.135429134,0.772284057,,,,
SEPTIN5,0.288758692,0.269941055,,,,
SLC22A25,0.141561652,0.667149621,,,,
STK19,-0.392095031,0.400036306,,,,
RAPGEF3,0.15294959,0.712569995,,,,
ATF6B,0.565350377,0.22019075,,,,
MYRIP,-0.104566072,0.850141252,,,,
ASGR1,0.100359879,0.8519367,,,,
ZNF211,0.21594393,0.256988189,,,,
ERO1A,0.292495387,0.131590747,,,,
SAAL1,-0.220459013,0.396253817,,,,
ZNHIT3,0.314523591,0.307929169,,,,
NLRC5,0.228125409,0.665776854,,,,
GUCY1A2,0.531590368,0.452337376,,,,
SLC19A1,0.231806712,0.249190165,,,,
LRRC20,-0.256577233,0.348487854,,,,
ELL3,-0.109566088,0.793848637,,,,
HES1,-0.315362848,0.289854806,,,,
CUL2,0.234236902,0.175350983,,,,
PDCD2L,0.081661062,0.814623084,,,,
VPS11,0.334366519,0.193833185,,,,
PROM1,-0.473945465,0.230064092,,,,
PTCH1,-0.323585135,0.277397698,,,,
ICOSLG,-0.089574184,0.831056939,,,,
HEATR1,0.277055761,0.16607508,,,,
BRIP1,-0.271907414,0.488322788,,,,
WNK2,0.289563305,0.336341077,,,,
C9orf40,0.214939018,0.500966628,,,,
SHOC2,0.198813743,0.162394136,,,,
MMGT1,0.202251249,0.170018556,,,,
IFTAP,0.208925393,0.2868809,,,,
,-0.152145086,0.67696044,,,,
TSTD2,-0.233646478,0.203341079,,,,
C1orf115,-0.210819566,0.540299824,,,,
COQ3,-0.003341455,0.994193512,,,,
NXPH3,0.193791903,0.801815901,,,,
HMGB1P6,0.30547996,0.309920481,,,,
YARS2,0.229427712,0.302115424,,,,
B4GALNT4,-0.328157188,0.161147462,,,,
TTC31,-0.198474096,0.269070699,,,,
LMO7,0.226694436,0.171997865,,,,
CYFIP2,0.303205112,0.136264165,,,,
FAM118A,0.179453297,0.280303683,,,,
HAUS2,-0.293026511,0.266810825,,,,
HDDC3,0.249401268,0.373736422,,,,
GON7,-0.622566984,0.800907108,,,,
SLC25A51,-0.207810357,0.374376667,,,,
LSP1P4,-0.271623188,0.451265268,,,,
AGPAT2,0.217793723,0.164058697,,,,
CUTC,0.18797536,0.439736866,,,,
G0S2,0.213463679,0.440092544,,,,
TRMT61B,-0.224133761,0.382833793,,,,
PECR,-0.211146126,0.513279811,,,,
R3HCC1L,-0.290570294,0.243950204,,,,
POLR2J3,-0.239383938,0.372002284,,,,
GAB3,0.014085918,0.969269814,,,,
MGMT,-0.285572358,0.406407241,,,,
AGAP4,0.268230205,0.362233971,,,,
NEK8,0.17491477,0.573637869,,,,
RIT1,-0.228108807,0.183368804,,,,
ZNF10,-0.24205056,0.368576458,,,,
EZH2,-0.198408897,0.325855185,,,,
PBRM1,0.291926571,0.158428865,,,,
FCSK,-0.256022702,0.338054825,,,,
SLC8B1,0.187679444,0.248726477,,,,
IRAK1BP1,0.039275473,0.908755814,,,,
IFI44L,-0.892383808,0.318356323,,,,
CHURC1,0.28960146,0.170942872,,,,
TMEM254,0.203651574,0.226270662,,,,
TERF2,0.197055131,0.206313853,,,,
TBC1D31,-0.224943614,0.420581061,,,,
PCDHGB5,-0.097683225,0.862204248,,,,
HDX,-0.066852862,0.874587106,,,,
MED30,0.152202059,0.662200895,,,,
PCF11,0.315674312,0.176541316,,,,
PPP2R2A,0.20779722,0.149381645,,,,
GATD1,-0.188934111,0.17198144,,,,
PTPRS,-0.304645861,0.137752326,,,,
SH2D3A,9.99E-04,0.997948033,,,,
TNRC6C,0.31451803,0.256677523,,,,
PCBP3,0.205632809,0.651304355,,,,
OSBP2,0.218885871,0.292303832,,,,
LRRC75B,-0.221033995,0.367936074,,,,
CMTM3,0.268865456,0.185992567,,,,
INMT,0.259143943,0.633119381,,,,
SYN3,-0.610485564,0.470502203,,,,
EGR2,0.388337864,0.453070771,,,,
FBXL21P,0.071440876,0.926216315,,,,
ZNF530,-0.152815803,0.573389125,,,,
NPEPPS,-0.187467561,0.140702036,,,,
SYNGAP1,0.422816319,0.202422732,,,,
NAA80,-0.18852271,0.522304793,,,,
FAM149A,0.063120588,0.861995494,,,,
TOP2A,0.333103181,0.438829529,,,,
ZNF382,-0.26482533,0.418203831,,,,
SLC30A4,0.221714926,0.237045632,,,,
BBS4,0.222039772,0.230934894,,,,
AGO3,0.315661135,0.197338505,,,,
SPRN,-0.325700619,0.419009885,,,,
RAP1GAP2,-0.319983378,0.299370637,,,,
DUOX1,0.144039805,0.725288386,,,,
,0.258093051,0.685786465,,,,
ZDHHC15,-0.253721876,0.386072233,,,,
GUSBP14,-0.161828185,0.702746001,,,,
PGM5,0.387580284,0.33629231,,,,
VWA5B2,0.438966419,0.505215201,,,,
ZSWIM3,0.165068722,0.578898123,,,,
ZNF581,0.24136496,0.302739329,,,,
PRRT4,-0.277269941,0.432192877,,,,
NOP16,0.202135335,0.363504894,,,,
NPIPB12,-0.302695828,0.548261555,,,,
KCTD17,0.247493901,0.2520248,,,,
ZNF268,-0.291524212,0.283331729,,,,
MARK4,0.228656244,0.152257198,,,,
SHLD2,0.220214645,0.25387691,,,,
PJA1,0.171140705,0.199889973,,,,
MCM9,-0.217885281,0.416499367,,,,
POLD3,0.216597846,0.25784458,,,,
DYRK1B,-0.186666752,0.421911203,,,,
CAPN1,-0.254736388,0.152381992,,,,
SPECC1,-0.252155608,0.17473113,,,,
CFAP418,0.130476373,0.574442189,,,,
CCDC65,0.050486522,0.890376448,,,,
YTHDC2,0.2556592,0.210507589,,,,
ABHD3,-0.303473324,0.515464959,,,,
CLUL1,-0.152138427,0.597288626,,,,
HAUS8,-0.02307899,0.944214618,,,,
SLC6A16,0.011255775,0.971091836,,,,
TRAM1L1,0.226261555,0.475890881,,,,
FANCA,-0.150662045,0.712899587,,,,
FARS2,0.197270704,0.500200039,,,,
VWDE,0.185905425,0.768316079,,,,
CMYA5,0.100020016,0.844954221,,,,
FREM2,0.489658771,0.495880918,,,,
FZD9,0.124303749,0.80402984,,,,
POGLUT1,0.211221173,0.194356608,,,,
PNKP,0.249074348,0.268077257,,,,
ZNF880,0.23120302,0.451138039,,,,
TTC32,0.107640267,0.779615493,,,,
CAMSAP2,0.381791855,0.158865918,,,,
NCKIPSD,-0.184295703,0.187256919,,,,
ZNF324B,0.156818903,0.595541012,,,,
FRS3,0.179085997,0.6194008,,,,
TC2N,-0.344536999,0.307279356,,,,
KCND3,0.007492535,0.983673713,,,,
PCMTD2,0.263117851,0.20643324,,,,
ABHD14B,0.258316203,0.253556771,,,,
CCNJ,-0.274589332,0.275761335,,,,
USP37,0.294466853,0.239961304,,,,
QRICH2,0.262568667,0.37951772,,,,
PPIP5K1,-0.211843419,0.212612448,,,,
GMFB,0.259430562,0.167447801,,,,
SGF29,0.118510114,0.708650933,,,,
MRPS31P5,0.156602656,0.697002444,,,,
CDCA2,0.026829494,0.943960059,,,,
CD2AP,0.214368284,0.165432436,,,,
PDGFD,0.391410783,0.41966517,,,,
TAF4,-0.264608298,0.47987814,,,,
PCDHGB1,-0.099668663,0.855828726,,,,
GOLGA6L9,-0.348583831,0.517166657,,,,
HCN2,0.248421394,0.424075442,,,,
NDUFC2,0.257181923,0.163124474,,,,
SMYD3,0.286247051,0.203845145,,,,
APC2,-0.459899872,0.218408346,,,,
MYO19,0.605222463,0.327191441,,,,
C1orf116,0.24028119,0.639182136,,,,
ABTB1,0.221340723,0.312692202,,,,
PCGF1,0.179267386,0.467504676,,,,
WDR70,0.243499955,0.237136203,,,,
,-0.262160506,0.506805475,,,,
ACBD4,0.213454997,0.459497912,,,,
RPP30,-0.24484177,0.280831335,,,,
FAM229A,-0.227870323,0.596754767,,,,
IKZF4,0.276823154,0.217857203,,,,
CHCHD10,0.20806217,0.65337992,,,,
SH3GLB2,-0.218558623,0.175098421,,,,
CELF2,-0.299512333,0.182749684,,,,
ARHGEF5,0.546572171,0.32832979,,,,
NEURL1B,-0.376993257,0.462620144,,,,
NAF1,0.217467934,0.351021128,,,,
CSPG4P11,0.086187181,0.827986397,,,,
EIF3CL,0.065629157,0.965970736,,,,
WBP4,0.247532599,0.252894529,,,,
FDX1,0.234122393,0.319959867,,,,
,0.486627476,0.393969318,,,,
PIGH,0.274287378,0.280592174,,,,
SORT1,0.282687403,0.145113896,,,,
GNB1L,0.020294069,0.951439319,,,,
THOC6,0.21240671,0.34711664,,,,
DZIP3,0.260280388,0.238178203,,,,
DUSP10,-0.245647251,0.34445849,,,,
PABPC4L,-0.354481378,0.5786398,,,,
CNMD,0.786392152,0.296820957,,,,
,-0.037958454,0.951604254,,,,
PIAS4,0.223423914,0.22319085,,,,
MCEE,0.283379736,0.35499571,,,,
SMIM12,-0.209267459,0.231434625,,,,
SLC40A1,0.393704405,0.314312822,,,,
CDRT4,0.256826208,0.809419774,,,,
DUSP12,-0.242005215,0.32794235,,,,
SOX8,0.224956318,0.717566534,,,,
WWC1,-0.341025874,0.243219646,,,,
SLC25A17,0.213521861,0.230381829,,,,
DUS3L,0.253467872,0.448419623,,,,
PUS7,0.22695067,0.336617424,,,,
SAMM50,0.218711906,0.181535543,,,,
VPS16,0.23319093,0.205094381,,,,
NLE1,-0.212872494,0.282856107,,,,
PSMC4,0.197644419,0.198322897,,,,
PMS1,0.249645959,0.314156436,,,,
HEXD,0.17971528,0.448779969,,,,
TEK,0.321308754,0.718167304,,,,
AGAP2,-0.355263846,0.666451494,,,,
POLR2J3,-0.219168519,0.313514487,,,,
CEP135,0.232550629,0.495740436,,,,
RAB11A,0.190172509,0.151060563,,,,
SMCO4,0.147199359,0.639588471,,,,
GAL3ST3,-0.230357002,0.417640547,,,,
IFT20,0.234338894,0.19909949,,,,
SIRT6,-0.202980094,0.288858256,,,,
ZNHIT1,0.220307734,0.172345132,,,,
GET3,0.299651916,0.200732163,,,,
CSNK1G3,0.187637885,0.197790183,,,,
NPIPB4,0.174234851,0.718225083,,,,
KDM6A,0.180504431,0.198023172,,,,
DHX38,0.229074511,0.170698231,,,,
PARS2,-0.109836704,0.79222913,,,,
TMEFF1,-0.523255414,0.338694427,,,,
EEF1AKMT3,0.214245677,0.315578074,,,,
TMEM182,0.200442852,0.38227354,,,,
NAXE,0.225255959,0.209939782,,,,
ANKDD1A,0.208116385,0.39163841,,,,
RNF215,0.193639657,0.20169249,,,,
TMEM70,-0.280537095,0.316353499,,,,
